Case Study 1;Abbreviation1;Case Study 2;Abbreviation2
Pinus sylvestris L.;pin_syl;Arbutus unedo L.;arb_une
Quercus ilex L.;que_ile;Asphodelus aestivus Rchb.;asp_aes
Fagus sylvatica L.;fag_syl;Chamaerops humilis L.;cha_hum
Fraxinus excelsior L.;fra_exc;Ephedra fragilis subsp. fragilis Desf.;eph_fra
Quercus petraea (Matt.) Liebl.;que_pet;Helichrysum stoechas (L.) Moench;hel_sto
Quercus robur L.;que_rob;Juniperus oxycedrus subsp. oxycedrus L.;jun_oxy
Quercus pyrenaica Willd.;que_pyr;Pistacia lentiscus L.;pis_len
Quercus suber L.;que_sub;Quercus coccifera L.;que_coc
Abies alba Mill.;abi_alb;Rhamnus alaternus L.;rha_ala
Acer platanoides L.;ace_pla;Viburnum tinus L.;vib_tin
Alnus glutinosa (L.) Gaertn.;aln_glu;;
Juniperus oxycedrus L.;jun_oxy;;
Arbutus unedo L.;arb_une;;
Crataegus monogyna Jacq.;cra_mon;;
Prunus spinosa L.;pru_spi;;
Buxus sempervirens L.;bux_sem;;
Cotoneaster tomentosus Lindl.;cot_tom;;
Viola mirabilis L.;vio_mir;;
Diplotaxis erucoides DC.;dip_eru;;
Centaurea alba L.;cen_alb;;
Geranium lucidum L.;ger_luc;;
Linaria alpina Mill.;lin_alp;;
Pistacia terebinthus L.;pis_ter;;
Muscari comosum (L.) Mill.;leo_com;;
Lotus edulis L.;lot_edu;;
