Abies alba Mill.
Acer platanoides L.
Alnus glutinosa (L.) Gaertn.
Arbutus unedo L.
Buxus sempervirens L.
Centaurea alba L.
Cotoneaster tomentosus Lindl.
Crataegus monogyna Jacq.
Diplotaxis erucoides DC.
Fagus sylvatica L.
Fraxinus excelsior L.
Geranium lucidum L.
Juniperus oxycedrus L.
Linaria alpina Mill.
Lotus edulis L.
Muscari comosum (L.) Mill.
Pinus sylvestris L.
Pistacia terebinthus L.
Prunus spinosa L.
Quercus ilex L.
Quercus petraea (Matt.) Liebl.
Quercus pyrenaica Willd.
Quercus robur L.
Quercus suber L.
Viola mirabilis L.
